species,cor_comm_pc1,cor_rda1
Diala albugo,-0.5699267195534843,0.28342448122106223
Diala semistriata,-0.5337938917485581,0.36576527714379553
Dascyllus flavicaudus,0.5305825567980861,-0.2169964555311555
Harpiliopsis spinigera,0.4901094987680333,-0.338610671761813
Strigatella assimilis,-0.477877141961512,0.22039013901809307
Periclimenes watamuae,0.47629248503408517,-0.29853234143346835
Fennera chacei,0.47249806777641373,-0.4186873524176407
Dascyllus aruanus,0.4465911249397376,-0.4662146964577226
Apataxia cerithiiformis,-0.43210935260219707,0.30192840132357174
Chlorodiella barbata,-0.423344590678594,0.19807538582737927
Athanas djiboutensis,-0.3421253263610071,0.1280742031699821
Cerithium zebrum,-0.28580274881607204,0.11964153777322725
Hargeria rapax,-0.28035915428552344,0.2390848374406024
Galathea mauritiana,-0.1856917368225417,-0.010762288085572152
Trapezia serenei,-0.17323059120330486,0.0683058197943357
Galeropsis monodonta,0.1579079872545334,-0.010851671034334364
Alpheus lottini,-0.1143354206946857,0.10139431266680592
Luniella pugil,-0.09508281029986866,0.2773802001502022
Paragobiodon modestus,-0.092630860023395,-0.06762839658472616
Synalpheus charon,-0.0608087920719048,0.04630230013214028
Calcinus latens,0.029801980767168557,-0.04338834275846866
