estimate,std_error,df,statistic,p_value,conf_low,conf_high,n,species,included,direction,p_adj_BH,significant_BH,scenario_id,scenario_type,n_species_condition_scope
0.19839665308916996,0.09255397864195078,40.66641010089006,2.1435777910388523,0.038097744409149585,0.011433525162483277,0.38535978101585666,44,Fennera chacei,TRUE,positive,0.19048872204574793,FALSE,top_005_by_abundance,ranked_top_N,5
-0.13599336700845124,0.14258405407677882,41.5505340942428,-0.9537768293165615,0.34571268188419424,-0.42383188239196246,0.15184514837505994,44,Galeropsis monodonta,TRUE,negative,0.4321408523552428,FALSE,top_005_by_abundance,ranked_top_N,5
0.21237481813690923,0.12935238357757692,41.88951000417041,1.6418315013850595,0.10811255937304108,-0.04868926089501996,0.4734388971688384,44,Periclimenes watamuae,TRUE,positive,0.2455391789179598,FALSE,top_005_by_abundance,ranked_top_N,5
-0.023161394281729055,0.4863798521604694,41.999647422200454,-0.047619970644029695,0.9622448410655704,-1.0047159186652004,0.9583931301017422,44,Trapezia serenei,TRUE,negative,0.9622448410655704,FALSE,top_005_by_abundance,ranked_top_N,5
0.4545990052723649,0.30761061854179556,39.7894029252458,1.477839118257219,0.14732350735077587,-0.16720776381136,1.0764057743560898,44,Harpiliopsis spinigera,TRUE,positive,0.2455391789179598,FALSE,top_005_by_abundance,ranked_top_N,5
0.19839665308916996,0.09255397864195078,40.66641010089006,2.1435777910388523,0.038097744409149585,0.011433525162483277,0.38535978101585666,44,Fennera chacei,TRUE,positive,0.32751459183936904,FALSE,top_010_by_abundance,ranked_top_N,10
-0.13599336700845124,0.14258405407677882,41.5505340942428,-0.9537768293165615,0.34571268188419424,-0.42383188239196246,0.15184514837505994,44,Galeropsis monodonta,TRUE,negative,0.45304307549002765,FALSE,top_010_by_abundance,ranked_top_N,10
0.21237481813690923,0.12935238357757692,41.88951000417041,1.6418315013850595,0.10811255937304108,-0.04868926089501996,0.4734388971688384,44,Periclimenes watamuae,TRUE,positive,0.32751459183936904,FALSE,top_010_by_abundance,ranked_top_N,10
-0.023161394281729055,0.4863798521604694,41.999647422200454,-0.047619970644029695,0.9622448410655704,-1.0047159186652004,0.9583931301017422,44,Trapezia serenei,TRUE,negative,0.9622448410655704,FALSE,top_010_by_abundance,ranked_top_N,10
0.4545990052723649,0.30761061854179556,39.7894029252458,1.477839118257219,0.14732350735077587,-0.16720776381136,1.0764057743560898,44,Harpiliopsis spinigera,TRUE,positive,0.32751459183936904,FALSE,top_010_by_abundance,ranked_top_N,10
0.453427200510809,0.2513726623400437,41.82174883157117,1.803804742686922,0.07846820668005616,-0.05392743444986048,0.9607818354714784,44,Calcinus latens,TRUE,positive,0.32751459183936904,FALSE,top_010_by_abundance,ranked_top_N,10
0.194296000323678,0.21098900270917478,41.49975994829741,0.920882121005585,0.3624344603920221,-0.2316491558059059,0.6202411564532619,44,Dascyllus aruanus,TRUE,positive,0.45304307549002765,FALSE,top_010_by_abundance,ranked_top_N,10
-0.1937316865202185,0.2662682560123742,41.98717815033504,-0.7275808593241219,0.47090814282826243,-0.7310876435567291,0.343624270516292,44,Paragobiodon modestus,TRUE,negative,0.5232312698091806,FALSE,top_010_by_abundance,ranked_top_N,10
-0.29413757524928447,0.2071465947043923,38.084196489028976,-1.4199488804970812,0.16375729591968452,-0.7134534894894577,0.12517833899088882,44,Apataxia cerithiiformis,TRUE,negative,0.32751459183936904,FALSE,top_010_by_abundance,ranked_top_N,10
-0.34294115573416173,0.2993657032465341,41.06940274549976,-1.145559267528192,0.2586091535586712,-0.9474914326098216,0.26160912114149815,44,Galathea mauritiana,TRUE,negative,0.43101525593111867,FALSE,top_010_by_abundance,ranked_top_N,10
0.19839665308916996,0.09255397864195078,40.66641010089006,2.1435777910388523,0.038097744409149585,0.011433525162483277,0.38535978101585666,44,Fennera chacei,TRUE,positive,0.4093932397992113,FALSE,top_015_by_abundance,ranked_top_N,15
-0.13599336700845124,0.14258405407677882,41.5505340942428,-0.9537768293165615,0.34571268188419424,-0.42383188239196246,0.15184514837505994,44,Galeropsis monodonta,TRUE,negative,0.5441340079809204,FALSE,top_015_by_abundance,ranked_top_N,15
0.21237481813690923,0.12935238357757692,41.88951000417041,1.6418315013850595,0.10811255937304108,-0.04868926089501996,0.4734388971688384,44,Periclimenes watamuae,TRUE,positive,0.4093932397992113,FALSE,top_015_by_abundance,ranked_top_N,15
-0.023161394281729055,0.4863798521604694,41.999647422200454,-0.047619970644029695,0.9622448410655704,-1.0047159186652004,0.9583931301017422,44,Trapezia serenei,TRUE,negative,0.9622448410655704,FALSE,top_015_by_abundance,ranked_top_N,15
0.4545990052723649,0.30761061854179556,39.7894029252458,1.477839118257219,0.14732350735077587,-0.16720776381136,1.0764057743560898,44,Harpiliopsis spinigera,TRUE,positive,0.4093932397992113,FALSE,top_015_by_abundance,ranked_top_N,15
0.453427200510809,0.2513726623400437,41.82174883157117,1.803804742686922,0.07846820668005616,-0.05392743444986048,0.9607818354714784,44,Calcinus latens,TRUE,positive,0.4093932397992113,FALSE,top_015_by_abundance,ranked_top_N,15
0.194296000323678,0.21098900270917478,41.49975994829741,0.920882121005585,0.3624344603920221,-0.2316491558059059,0.6202411564532619,44,Dascyllus aruanus,TRUE,positive,0.5441340079809204,FALSE,top_015_by_abundance,ranked_top_N,15
-0.1937316865202185,0.2662682560123742,41.98717815033504,-0.7275808593241219,0.47090814282826243,-0.7310876435567291,0.343624270516292,44,Paragobiodon modestus,TRUE,negative,0.642147467493085,FALSE,top_015_by_abundance,ranked_top_N,15
-0.29413757524928447,0.2071465947043923,38.084196489028976,-1.4199488804970812,0.16375729591968452,-0.7134534894894577,0.12517833899088882,44,Apataxia cerithiiformis,TRUE,negative,0.4093932397992113,FALSE,top_015_by_abundance,ranked_top_N,15
-0.34294115573416173,0.2993657032465341,41.06940274549976,-1.145559267528192,0.2586091535586712,-0.9474914326098216,0.26160912114149815,44,Galathea mauritiana,TRUE,negative,0.5441340079809204,FALSE,top_015_by_abundance,ranked_top_N,15
0.020417448262116406,0.23839160222316122,40.60693054687721,0.08564667577091659,0.9321681990045665,-0.4611657289202124,0.5020006254444452,44,Athanas djiboutensis,TRUE,positive,0.9622448410655704,FALSE,top_015_by_abundance,ranked_top_N,15
0.3205959637563025,0.2035238735339375,30.957683369207718,1.5752253442780673,0.12536996046120258,-0.09451671119009308,0.7357086387026981,44,Dascyllus flavicaudus,TRUE,positive,0.4093932397992113,FALSE,top_015_by_abundance,ranked_top_N,15
-0.2791385223850756,0.30303097394479317,38.1644474742103,-0.9211550844169799,0.3627560053206136,-0.8925058636366523,0.3342288188665012,44,Alpheus lottini,TRUE,negative,0.5441340079809204,FALSE,top_015_by_abundance,ranked_top_N,15
-0.2561924703144071,0.6278593699191333,37.68239183267187,-0.40804116747895963,0.6855527409102922,-1.5275792184806887,1.0151942778518743,44,Synalpheus charon,TRUE,negative,0.8212659449009302,FALSE,top_015_by_abundance,ranked_top_N,15
