min_abund,min_prev,n_species,var_PC1
10,10,38,0.1472761700612294
20,10,31,0.16441136595674358
30,10,23,0.17962779959659286
40,10,20,0.1809086306038507
50,10,20,0.1809086306038507
10,15,26,0.17257046400172918
20,15,24,0.17793437906559004
30,15,22,0.17800495589529414
40,15,20,0.1809086306038507
50,15,20,0.1809086306038507
10,20,22,0.18216715119305435
20,20,22,0.18216715119305435
30,20,21,0.1786682843933748
40,20,20,0.1809086306038507
50,20,20,0.1809086306038507
10,25,19,0.19045875501678747
20,25,19,0.19045875501678747
30,25,19,0.19045875501678747
40,25,19,0.19045875501678747
50,25,19,0.19045875501678747
