species_clean,metric,n,r,p_value,transform,species_original,norm_name,genus_lc,family_lc,taxon_group,genus_from_name_lc,taxon_from_family,species_label,Effect,p_BH,r_pc1_species
Alpheus_diadema,afdw_mg_cm2,44,-0.1855304915151425,0.2279166083228356,raw,Alpheus diadema,alpheus diadema,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus diadema),Negative,0.7899100567575673,-0.3228244864375724
Alpheus_diadema,carb_mg_cm2,44,-0.2477358438188203,0.104937695015735,raw,Alpheus diadema,alpheus diadema,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus diadema),Negative,0.781803050278105,-0.3228244864375724
Alpheus_diadema,growth_vol_b,44,-0.2220600584787633,0.147412040482462,raw,Alpheus diadema,alpheus diadema,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus diadema),Negative,0.781803050278105,-0.3228244864375724
Alpheus_diadema,PC1coral,44,-0.28609647471684346,0.05974365159952685,raw,Alpheus diadema,alpheus diadema,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus diadema),Negative,0.6485600371765998,-0.3228244864375724
Alpheus_diadema,protein_mg_cm2,44,-0.32686010735044163,0.030341770945250316,raw,Alpheus diadema,alpheus diadema,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus diadema),Negative,0.6485600371765998,-0.3228244864375724
Alpheus_diadema,zoox_cells_cm2,44,-0.07360655764715197,0.634901195788142,raw,Alpheus diadema,alpheus diadema,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus diadema),Negative,0.8884386927247871,-0.3228244864375724
Alpheus_lottini,afdw_mg_cm2,44,-0.16414080371303585,0.28701875858382897,raw,Alpheus lottini,alpheus lottini,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus lottini),Negative,0.809884193197265,-0.18456364660695518
Alpheus_lottini,carb_mg_cm2,44,-0.04573508926355933,0.7681520529440873,raw,Alpheus lottini,alpheus lottini,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus lottini),Negative,0.9315886599534676,-0.18456364660695518
Alpheus_lottini,growth_vol_b,44,-0.12314594606706453,0.4258112862326352,raw,Alpheus lottini,alpheus lottini,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus lottini),Negative,0.882590666009462,-0.18456364660695518
Alpheus_lottini,PC1coral,44,-0.13145180495012096,0.3950193064886224,raw,Alpheus lottini,alpheus lottini,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus lottini),Negative,0.8417233820505223,-0.18456364660695518
Alpheus_lottini,protein_mg_cm2,44,-0.15317578270113985,0.3208675762595874,raw,Alpheus lottini,alpheus lottini,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus lottini),Negative,0.809884193197265,-0.18456364660695518
Alpheus_lottini,zoox_cells_cm2,44,-0.024294319811588718,0.8756120957760675,raw,Alpheus lottini,alpheus lottini,NA,NA,Shrimps/Crabs,alpheus,NA,italic(Alpheus lottini),Negative,0.9685568912729993,-0.18456364660695518
Apataxia_cerithiiformis,afdw_mg_cm2,44,-0.10597085452689708,0.4935796388187773,raw,Apataxia cerithiiformis,apataxia cerithiiformis,NA,NA,Snails,apataxia,NA,italic(Apataxia cerithiiformis),Negative,0.8884386927247871,-0.22902051979640278
Apataxia_cerithiiformis,carb_mg_cm2,44,-0.20893471334989866,0.17348379458070728,raw,Apataxia cerithiiformis,apataxia cerithiiformis,NA,NA,Snails,apataxia,NA,italic(Apataxia cerithiiformis),Negative,0.781803050278105,-0.22902051979640278
Apataxia_cerithiiformis,growth_vol_b,44,-0.05782573969935617,0.7092657488381351,raw,Apataxia cerithiiformis,apataxia cerithiiformis,NA,NA,Snails,apataxia,NA,italic(Apataxia cerithiiformis),Negative,0.8999384882924784,-0.22902051979640278
Apataxia_cerithiiformis,PC1coral,44,-0.17979778428668153,0.242864741168438,raw,Apataxia cerithiiformis,apataxia cerithiiformis,NA,NA,Snails,apataxia,NA,italic(Apataxia cerithiiformis),Negative,0.7899100567575673,-0.22902051979640278
Apataxia_cerithiiformis,protein_mg_cm2,44,-0.11119279909043862,0.47240646440733836,raw,Apataxia cerithiiformis,apataxia cerithiiformis,NA,NA,Snails,apataxia,NA,italic(Apataxia cerithiiformis),Negative,0.8884386927247871,-0.22902051979640278
Apataxia_cerithiiformis,zoox_cells_cm2,44,-0.14280328718356108,0.35510557767040607,raw,Apataxia cerithiiformis,apataxia cerithiiformis,NA,NA,Snails,apataxia,NA,italic(Apataxia cerithiiformis),Negative,0.809884193197265,-0.22902051979640278
Athanas_djiboutensis,afdw_mg_cm2,44,0.3034421965236319,0.045247012370381944,raw,Athanas djiboutensis,athanas djiboutensis,NA,NA,Shrimps/Crabs,athanas,NA,italic(Athanas djiboutensis),Positive,0.6485600371765998,-0.010185284896869795
Athanas_djiboutensis,carb_mg_cm2,44,-0.11411629197507381,0.4607668067075641,raw,Athanas djiboutensis,athanas djiboutensis,NA,NA,Shrimps/Crabs,athanas,NA,italic(Athanas djiboutensis),Negative,0.8884386927247871,-0.010185284896869795
Athanas_djiboutensis,growth_vol_b,44,-0.04361069478052038,0.7786441074869782,raw,Athanas djiboutensis,athanas djiboutensis,NA,NA,Shrimps/Crabs,athanas,NA,italic(Athanas djiboutensis),Negative,0.9317520251630933,-0.010185284896869795
Athanas_djiboutensis,PC1coral,44,0.06639192561087734,0.6685135340798432,raw,Athanas djiboutensis,athanas djiboutensis,NA,NA,Shrimps/Crabs,athanas,NA,italic(Athanas djiboutensis),Positive,0.8890406831620972,-0.010185284896869795
Athanas_djiboutensis,protein_mg_cm2,44,0.047925278291208476,0.757377763808212,raw,Athanas djiboutensis,athanas djiboutensis,NA,NA,Shrimps/Crabs,athanas,NA,italic(Athanas djiboutensis),Positive,0.9283985491842599,-0.010185284896869795
